testing_enrolled,location_id,assessment_centre,location_name,operated_by,city,address,address_fr,postal_code,province,latitude,longitude,phu,phone,website,monday,tuesday,wednesday,thursday,friday,appointments,phone_appointments,symptomatic,drive_through,accessible,additional_information,saturday,sunday,online_appointments,walk_ins,children_under_2,age_threshold,public_transit,additional_information_fr,location_name_fr,french_language_services,free_parking,weeks_pregnant,general_population,asl_interpretation,email,first_nations,community_lab,vaccine_enrolled,pharmacy
,11,1.0,Huntsville District Memorial Hospital,Muskoka Algonquin Healthcare,Huntsville,100 Frank Miller Drive,100 chemin Frank Miller,P1H 1H7,ON,45.339214,-79.20568,Simcoe Muskoka District Health Unit,888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,1.0,,1.0,1.0,1.0,,closed,closed,,,1.0,0m,,,Hôpital Memorial du district de Huntsville,,1.0,,1.0,,,,,,
1.0,12,1.0,Orillia Soldiers' Memorial Hospital,Orillia Soldiers' Memorial Hospital,Orillia,170 Colborne Street West,,L3V 2Z3,ON,44.6048596,-79.4277891,Simcoe Muskoka District Health Unit,888-589-4109,https://www.osmh.on.ca/,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,10:30-18:30,1.0,,1.0,,1.0,"COVID-19 Testing appointments can be booked by calling 1-888-589-4109 or visiting the website

https://outlook.office365.com/owa/calendar/COVIDAssessment@osmh.on.ca/bookings/ 

Assessment Centre is located at the OSMH KIWANIS Building 



Clinical Assessment appointments can be booked by calling 705.325.2201 ext 8066. Please refer to https://www.osmh.on.ca/paxlovid/ for eligibility. Please speak to your Primary Care Provider in Couchiching regarding Assessment options or if you do not have a Primary Care Provider, and reside within the Couchiching Region, you may contact our Nurse Practitioner OHT Clinic (705) 329-3649 ext 284",10:30-16:00,10:30-16:00,https://outlook.office365.com/owa/calendar/COVIDAssessment@osmh.on.ca/bookings/,,1.0,0m,1.0,,Hôpital Soldiers' Memorial d'Orillial,,1.0,,1.0,,,,,,
,13,1.0,Barrie Community Health Centre,Barrie Community Health Centre,Barrie,490 Huronia Road,490 chemin Huronia,L4N 6M2,ON,44.34716,-79.665693,Simcoe Muskoka District Health Unit,,https://covid19.barriehealth.info/,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,1.0,,1.0,,1.0,"Located in the rear building behind the Huronia Urgent Care Clinic.
https://v2.waitwhile.com/book/barriecovidtesting",,,https://v2.waitwhile.com/book/barriecovidtesting,,1.0,0m,1.0,,Barrie Community Health Centre,,1.0,,,,,,,,
1.0,14,1.0,"Southlake COVID-19, Cold and Flu Care Clinic",Southlake Regional Health Centre,Newmarket,22 Prospect Street,,L3Y 3S9,ON,44.0599895613583,-79.454565817416,York Region Public Health Services,,https://southlake.ca/,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,1.0,,1.0,,1.0,You must book an appointment at https://southlake.ca/ before arriving to the testing facility.,08:00-20:00,08:00-20:00,https://southlake.ca/,,1.0,,1.0,,Southlake Regional Health Centre,,,,,1.0,,,,,
1.0,15,1.0,"Stevenson Memorial COVID-19, Cold and Flu Care Clinic",Stevenson Memorial Hospital,Alliston,200 Fletcher Crescent,200 Fletcher Crescent,L9R 1W7,ON,44.155578,-79.875078,Simcoe Muskoka District Health Unit,249-501-0383,https://care-clinics.ca/,09:00-17:00,,09:00-17:00,,09:00-17:00,1.0,,1.0,1.0,1.0,"Clinical assessments and treatment options for COVID-19 available Wednesdays and Fridays 1300-1700.



Please call 249-501-0383 to book an appointment. Phones are answered 0700-1700. Book online at https://care-clinics.ca/.

Drive-through centre located in the back parking lot.",closed,closed,https://care-clinics.ca/,,,2y,,,,,,,,,,,,,
,16,1.0,COVID-19 Trillium Health Partners - Mississauga Site,Trillium Health Partners,Mississauga,15 Bronte College Court,15 Bronte College Court,L5B 1M9,ON,43.572542,-79.60644,Peel Public Health,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,1.0,,1.0,,1.0,,10:00-18:00,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,1.0,1y,1.0,,,,1.0,,,,,,,,
,17,1.0,Credit Valley Hospital – Drive-Thru,Trillium Health Partners,Mississauga,2200 Eglinton Avenue West,2200 chemin Eglinton Ouest,L5M 2N1,ON,43.558655,-79.703279,Peel Public Health,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,1.0,,1.0,1.0,1.0,"Appointments can be booked through the website. 

https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere

Can test anyone over 1 years old.

•Walk-thru lane available. Complete regular booking process and follow the signs when you arrive.",10:00-18:00,10:00-18:00,http://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,1.0,1y,1.0,,Hôpital Credit Valley - Drive-Thru,1.0,1.0,,,,,,,,
,18,1.0,COVID-19 Trillium Health Partners - Mississauga S,Trillium Health Partners,Mississauga,2200 Eglinton Avenue West,2200 chemin Eglinton Ouest,L5M 2N1,ON,43.558655,-79.703279,Peel Public Health,,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,1.0,,1.0,,,"Book an appointment online at www.williamoslerhs.ca/coronavirus or Call this number for booking 905-487-1249, 08:00 am to 6:00 pm, 7 days a week.",10:00-18:00,,https://trilliumhealthpartners.ca/assessment,,,,1.0,,Credit Valley Hospital – Valley House,1.0,1.0,,,,,,,,
,19,1.0,William Osler Health System - Etobicoke COVID 19 Testing Centre,William Osler Health System,Etobicoke,101 Humber College Boulevard,,M9V 1R8,ON,43.7290011442219,-79.5975717822123,Toronto Public Health,905-487-1249,https://www.williamoslerhs.ca/coronavirus,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,1.0,,1.0,,1.0,"Book appointments online at www.williamoslerhs.ca/coronavirus or call 905-487-1249 during 08:00 am to 6:00 pm,
 7 days a week.",08:00-19:00,08:00-19:00,https://www.williamoslerhs.ca/en/visiting-us/covid-19-appointment-booking.aspx,,,2y,1.0,,,,1.0,,,,,,,,
,20,1.0,William Osler Health System - Brampton COVID 19 Testing Centre,William Osler Health System,Brampton,20 Lynch Street,,L6W 2Z8,ON,43.6527930791216,-79.7359565079387,Peel Public Health,905-487-1249,https://www.williamoslerhs.ca/coronavirus,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,14:00-21:00,1.0,,1.0,,1.0,"Book appointments online at www.williamoslerhs.ca/coronavirus or call 905-487-1249,  7 days a week.",14:00-21:00,14:00-21:00,https://www.williamoslerhs.ca/en/visiting-us/covid-19-appointment-booking.aspx,,,2y,1.0,,,,1.0,,,,,,,,
1.0,21,1.0,Almonte General Hospital,Almonte General Hospital,Almonte,75 Spring Street,,K0A 1A0,ON,45.228961,-76.189452,"Leeds, Grenville and Lanark District Health Unit",613-325-1208,https://healthunit.org/health-information/covid-19/assessment-testing-results/,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,1.0,1.0,1.0,1.0,1.0,"Curbside parking with in-person testing/home kit pickup in the Octagon Room. Follow signage upon arrival.

Tests provided to those who are eligible. Must be at least 6 months old. No travel testing.",08:00-16:00,,https://portal.healthmyself.net/northgrenvillecovid19assessmentcentre/forms/jMX#/,,,2y,,,Hôpital général d'Almonte,,1.0,,,,,,,,
1.0,22,1.0,Brockville Assessment Centre,Brockville General Hospital,Brockville,125 Stewart Boulevard,,K6V 4W4,ON,44.59846,-75.69687,"Leeds, Grenville and Lanark District Health Unit",613-704-1441,https://healthunit.org/health-information/covid-19/assessment-testing-results/,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,1.0,1.0,1.0,,1.0,"Note: the Brockville Assessment Centre will be closed to the public on Aug. 2. 

Brockville Assessment Centre can also provide care for those experiencing more than mild symptoms who need help managing their illness. Testing is still only provided for those who qualify but further monitoring of symptoms and diagnosis by a health care professional is available for those who are advised to seek care or who cannot manage their symptoms at home. To seek this care, book an appointment as advised above either online or by phone, or you may also attend the clinic safely as a walk-in during open hours. 

If no appointments are available for the time and date that you would prefer on the first schedule that you select, go back and select the next schedule to view other available appointments.

To cancel an appointment that was booked online using the online portal, please call the booking line during regular hours at 613-704-1441 and press 2.

If you have mobility issues, please call 1-800-660-5853 for a referral to EMS to have an in home swab done.

If you are unable to book an appointment, some limited walk-in tests may be available but are not guaranteed.

Please arrive 15 minutes prior to your appointment time and follow signs to register before parking your vehicle.",10:00-14:30,10:00-14:30,https://ocean.cognisantmd.com/intake/patients.html?linkRef=aadd1faa-2759-463d-8d92-e24d7fd60aa6#/online-booking,1.0,1.0,1y,,,,,1.0,,,,,,,,
1.0,23,1.0,"COVID-19 CHEO Assessment Centre for Infants, Children and Youth",CHEO,Ottawa,401 Smyth Road,,K1H 8L1,ON,45.4009736,-75.6535028,Ottawa Public Health,613-737-7600 ext. 6720,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,07:30-20:00,07:30-20:00,07:30-20:00,07:30-20:00,07:30-20:00,1.0,1.0,1.0,,1.0,"PEDIATRIC

Beginning Thursday, March 24, the COVID-19 CHEO Assessment Centre and Kids Come First Care Clinic at Brewer Park Arena will relocate to CHEO’s main campus at 401 Smyth Road. Appointment only. Please visit the website to make an appointment. 

For those requiring extra support for accessibility reasons, please contact CHEO’s Patient Experience team at 613-737-7600, ext. 6720.



Can test anyone 2months to 18 years of age by appointment. 

Follow the signage for parking. Enter from Bronson Avenue.

Free parking available

Near public transit

French-language services available

Accommodates wheelchairs and mobility devices",07:30-20:00,07:30-20:00,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Click-here-to-learn-more-and-book-an-appointment,1.0,1.0,2m,1.0,,,1.0,1.0,,,,,,,,
1.0,24,1.0,Brewer Park Arena (The Ottawa Hospital),The Ottawa Hospital,Ottawa,151 Brewer Way,151 chemin Brewer Way,K1S 5T1,ON,45.389239,-75.690478,Ottawa Public Health,613-737-8193,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,08:30-11:30&12:30-15:30,08:30-11:30&12:30-15:30,08:30-11:30&12:30-15:30,08:30-11:30&12:30-15:30,08:30-11:30&12:30-15:30,1.0,1.0,1.0,,1.0,"DIY Test Kit collection and drop-off will be available from 8:30 am to 11:30 am and from 12:30 pm to 3:30 pm. Residents who meet current testing criteria can continue to book an appointment at

OttawaPublicHealth.ca/CovidTesting. Before arriving on site, please watch the following video to

familiarize yourself with the swab process. It is also important to remember not to eat, drink or chew

gum 30 minutes prior to the test. The DIY test kit includes instructions, a registration form, and a self-swab PCR test. Once completed either on-site, in the car, or at home, the test kit is then dropped off on site at Brewer for processing at the lab.

Please note that the test kits are intended to be picked-up, completed and returned on the same day.

The test solution has a short expiry period which means that the kits are not intended to be picked up and held onto for “just in case” testing scenarios.

Follow the signage for parking. Enter from Bronson Avenue.",closed,08:30-11:30&12:30-15:30,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Click-here-to-learn-more-and-book-an-appointment,1.0,,18y,1.0,,,1.0,1.0,,,,,,,,
1.0,25,1.0,Cornwall COVID-19 Assessment Centre,Cornwall Community Hospital,Cornwall,840 McConnell Avenue,840 avenue McConnell,K6H 4M3,ON,45.0300809,-74.7183579,Eastern Ontario Health Unit,343-475-0160,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,14:00-18:00,09:00-13:00,09:00-13:00,14:00-18:00,09:00-13:00,1.0,,1.0,,1.0,"** site has relocated to hospital main entrance. 



Please call to schedule an appointment 343-475-0160 during opening hours.    Park in the hospital’s main entrance, parking is free for 30 minutes. Arrive at the exact time of your appointment (not earlier).  Bring only a health card and mask.",closed,closed,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,,1.0,0m,1.0,,Cornwall - Centre d’évaluation pour la COVID-19,1.0,1.0,,,,,,,,
1.0,26,1.0,Akausivik Inuit Family Health Team - COVID-19 Assessment Centre,Akausivik Inuit Family Health Team,Ottawa,"24 Selkirk Street, Suite 300",24 rue Selkirk,K1L 0A4,ON,45.431716,-75.667688,Ottawa Public Health,613-740-0999,https://www.ottawapublichealth.ca/en/public-health-topics/resources/AIFHT-COVID-Testing-Info--Video---English.pdf,10:30-18:00,10:30-18:00,10:30-18:00,10:30-18:00,10:30-18:00,1.0,,1.0,,,Please call to schedule an appointment. Services offered in Inuktitut and English.,closed,closed,,,1.0,0m,,,Akausivik Inuit Family Health Team -Centre d'èvaluation de la COVID-19,,,,,,generalinfo@aifht.ca,1.0,,,
1.0,27,1.0,Haliburton Family Medical Centre,Haliburton Family Medical Centre,Haliburton,7217 Gelert Road,7217 chemin Gelert,K0M 1S0,ON,45.039054,-78.528165,"Haliburton, Kawartha, Pine Ridge District Health Unit",705-457-1212 ext. 6,https://www.haliburtoncares.ca/,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-15:15,1.0,,1.0,,1.0,"Located in the parking lot of the Haliburton Family Medical Centre. Enter from Haliburton County Road 21, on the roadway beside the high school.

Please call to schedule an appointment after completing the online self-assessment.

Parents of school-aged children:  Please bring your children to the Assessment Centre for testing (not the Emergency Department).  

Patients under 2 years of age will be deferred to the Emergency Department.",closed,closed,,,,2y,1.0,,,,1.0,,,,,,,,
,28,1.0,Hawkesbury COVID-19 Assessment Centre (HCW),Dynacare,Hawkesbury,750 Laurier Street,750 rue Laurier,K6A 3N9,ON,45.603834,-74.598607,Eastern Ontario Health Unit,613-632-1111 ext. 53800,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,1.0,,1.0,,1.0,"If you do not have internet access or need assistance with the appointment system, call 613-632-1111, ext. 53800.

https://eohu.ca/en/covid/covid-19-testing-assessment-centres

Vulnerable clients and clients with cancer can get tested before opening times.



**Please note that the staffing and operations of the Hawkesbury testing site is transitioning from the Hawkesbury District General Hospital to Dynacare, as of November 29th 2021.   To allow for the transition, this site will be closed from November 24th-28th.

 To locate alternative nearby testing locations, please go to:  https://covid-19.ontario.ca/assessment-centre-locations",closed,closed,https://epicapps.toh.ca/mychart/openscheduling,1.0,,2y,,"Sur rendez-vous seulement
Si vous n’avez pas accès à internet ou que vous avez besoin d’aide avec le système de rendez-vous, composez le 613-632-1111, poste 53800.",Hawkesbury- Centre d’évaluation pour la COVID-19 (HCW),1.0,1.0,,,1.0,,,,,
,29,1.0,Casselman COVID-19 Assessment Centre,Hopital General de Hawkesbury and District General Hospital,Casselman,710 Principale Street,,K0A 1M0,ON,45.3125546595604,-75.0861035742728,Eastern Ontario Health Unit,613-632-1111 ext. 53800,https://epicapps.toh.ca/mychart/openscheduling,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,1.0,,1.0,,1.0,"If you do not have internet access or need assistance with the appointment system, call 613-632-1111, ext. 53800.

Appointment and location details
•	Appointment only. Visit their website to make an appointment",,closed,https://epicapps.toh.ca/mychart/openscheduling?lang=canadianenglish,1.0,1.0,1y,,,Casselman - Centre d’évaluation pour la COVID-19,1.0,1.0,,,,,,,,
1.0,30,1.0,Hawkesbury and District General Hospital - Rockland,Clarence-Rockland Family Health Team,Rockland,2741 Chamberland Street,2741 Chemin Chamberland,K4K 0B4,ON,45.544511,-75.301242,Eastern Ontario Health Unit,613-446-7677,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,1.0,,1.0,,,"Testing available for all age groups



Website: https://www.crfht.ca/en/our-clinic/covid-19-updates",,closed,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,,1.0,2y,,,,1.0,,,,,,,,,
,31,1.0,COVID-19 Care and Testing Centre – Heron,Hôpital Montfort,Ottawa,1485 Heron Road,1485 chemin Heron,K1V 6A6,ON,45.38042,-75.654826,Ottawa Public Health,613-746-4621,https://hopitalmontfort.com/en/heron-and-ray-friel-covid-19-care-clinics-offer-online-booking,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,09:00-15:30,1.0,,1.0,,1.0,"Scheduled to close temporarily on July 2, 2021.",,,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx#Click-here-to-learn-more-and-book-an-appointment,1.0,1.0,6m,1.0,,Hôpital Montfort - Heron Location,1.0,1.0,,,,,,,,
1.0,32,1.0,Kingston Assessment Centre,Kingston Health Sciences Centre,Kingston,51 Heakes Lane,,K7M 9B1,ON,44.218676,-76.521757,"Kingston, Frontenac and Lennox & Addington Health Unit",613-548-2376,https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,1.0,1.0,1.0,,1.0,"*Starting June 1 2022, there will no longer be physicians on site. This site will continue to provide COVID testing.   



To book an appointment online - https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre

To book an appointment by telephone please call 613-548-2376 (between 930 a.m. and 3:30 p.m.)

The Beechgrove Complex: Enter by turning south at the King St W and Portsmouth Ave intersection and follow the signage for walk in.",,,https://kingstonhsc.ca/,,1.0,6m,1.0,,Kingston Assessment Centre,1.0,,,,,,,,,
,33,1.0,Lakeridge Health - Oshawa,Lakeridge Health,Oshawa,1 Hospital Court,1 Hospital Court,L1G 2B9,ON,43.905529,-78.869215,Durham Region Health Department,,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,,1.0,,1.0,,1.0,"Please complete the online registration form. Patients will be called or emailed with an appointment time. Yes there is a separate entrance leading into the Hospital, the clinic is located right near that entrance so no other population can access.  Parking is free for the first 30 minutes. We have interpretation services for most languages.  We also have swabbed patients in their cars if it is warranted.",,,http://durhamcovidswab.lh.ca/,,,0m,1.0,,Lakeridge Health - Oshawa,1.0,,,,1.0,,,,,
,34,1.0,Lakeridge Health - Ajax Pickering,k,Ajax,580 Harwood Avenue South,580 avenue Harwood Sud,L1S 2J4,ON,43.836799,-79.017114,Durham Region Health Department,,http://covidswab.lh.ca,10:00-18:00,10:00-18:00,10:00-18:00,08:00-16:00,08:00-16:00,1.0,,1.0,,1.0,Please complete the online registration form. Patients will be called or emailed with an appointment time. Separate building on hospital property.,,,http://covidswab.lh.ca,,,18y,1.0,,Lakeridge Health - Ajax Pickering,,,,,,,,,,
,35,1.0,Lennox and Addington County General Hospital,Lennox and Addington County General Hospital,Napanee,12 Richmond Park Drive,,K7R 2Z4,ON,44.2415493542924,-76.9673079667205,"Kingston, Frontenac and Lennox & Addington Health Unit",613-354-8254,http://web.lacgh.napanee.on.ca/,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,1.0,1.0,1.0,1.0,1.0,"**Effective March 31, 2022, the Lennox and Addington County General Hospital (LACGH) will close its COVID-19 Assessment Testing Centre. These changes are the result of the continued decrease in testing volumes over the past few months. For those in need of a COVID-19 test or clinical assessment please click on https://covid-19.ontario.ca/assessment-centre-locations or call your local public health unit to find a nearby centre (Assessment Centre, participating pharmacy, etc.).**



Located at the LACGH Westdale Campus.



You need to book an appointment by either 

o	pre-registering online (https://CovidScreen.lacgh.napanee.on.ca) and waiting for a return contact with an appointment time; or, 

o	calling (613) 354-8254.  If you reach the voicemail please leave message and your call will be returned with an appointment time.



Testing is done by drive thru only, however walk thru will be accommodated if you do not have a vehicle

When you arrive at your appointment time, please follow the signs for the drive thru and do not block the road.

A healthcare worker will swab your nose to obtain a sample to test you for COVID-19.

You will receive information about how to get your test results and what to do if it is positive.",,,https://surveys.savience.com/s/LACOVIDPUBLIC/,,,0m,1.0,,Hôpital général du comté de Lennox and Addington,,1.0,,,,,,,,
1.0,36,1.0,Akwesasne COVID-19 Assessment Centre,Mohawk Council of Akwesasne Department of Health,Akwesasne,31 Hilltop Drive,31 chemin Hilltop,H0M 1A0,QC,44.999832,-74.654378,Eastern Ontario Health Unit,613-575-5005 ext. 3704,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,1.0,,1.0,1.0,1.0,For members of the community / Akwesasronon only.,closed,closed,,,,2y,,,Akwesasne - Centre d’évaluation pour la COVID-19,,,,,,,1.0,,,
